id|score|comment|bookId
48|in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel|aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat|681
49|nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh|dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in|27
50|rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis|magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien|990
51|ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac|592
52|metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae|augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc|68
53|vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper|interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel|93
54|morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus|tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non|582
55|a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor|mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh|930
56|non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus|lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed|612
57|ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy|maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu|221
58|ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien|praesent lectus vestibulum quam sapien varius ut blandit non interdum in|816
59|pede justo eu massa donec dapibus duis at velit eu est|sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis|451
60|in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus|convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum|228
61|fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id|vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent|96
62|vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt|lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie|29
63|accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor|in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat|853
64|in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam|scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam|488
65|placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor|vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia|558
66|ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse|parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum|735
67|elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper|suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper|967
68|risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero|non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus|705
69|nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue|sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac|993
70|justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare|egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu|666
71|porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in|neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis|464
72|risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh|id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat|536
73|nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh|eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia|86
74|in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis|habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis|430
75|non quam nec dui luctus rutrum nulla tellus in sagittis dui vel|id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi|389
76|suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien|id nisl venenatis lacinia aenean sit amet justo morbi ut odio|702
77|volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper|suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas|803
78|porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce|curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis|913
79|congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh|sit amet diam in magna bibendum imperdiet nullam orci pede|213
80|eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet|eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla|220
81|ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit|malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit|488
82|congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat|sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque|959
83|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia|sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu|535
84|nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla|ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor|655
85|pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra|potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus|82
86|nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac|sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam|338
87|id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi|auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit|636
88|nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget|ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam|195
89|in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque|in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut|177
90|hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum|congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus|271
91|lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit|ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque|780
92|in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse|porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet|415
93|vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien|nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam|381
94|vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis|diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed|508
95|sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci|quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque|118
96|integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia|at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque|300
97|suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula|iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo|303
98|venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet|neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros|678
99|pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate|ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque|845
100|id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat|65
101|ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue|magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet|436
102|vel accumsan tellus nisi eu orci mauris lacinia sapien quis|montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et|498
103|hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci|donec ut mauris eget massa tempor convallis nulla neque libero convallis eget|456
104|justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci|tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit|390
105|sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus|mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel|148
106|morbi a ipsum integer a nibh in quis justo maecenas|nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit|677
107|consequat varius integer ac leo pellentesque ultrices mattis odio donec|est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis|538
108|cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget|odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac|895
109|tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida|congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst|544
110|ut volutpat sapien arcu sed augue aliquam erat volutpat in|mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae|877
111|nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit|scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis|513
112|cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel|mauris enim leo rhoncus sed vestibulum sit amet cursus id|295
113|at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas|in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium|264
114|dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla|sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis|593
115|tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam|fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed|80
116|dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam|est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium|751
117|condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et|dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id|688
118|sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue|dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio|495
119|vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed|amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate|886
120|ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet|vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes|608
121|orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor|leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum|204
122|aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula|in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac|899
123|et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae|711
124|sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo|orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit|759
125|id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique|vel sem sed sagittis nam congue risus semper porta volutpat|573
126|congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget|cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae|657
127|quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam|auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis|383
128|eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna|nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus|721
129|tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum|cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis|337
130|sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut|in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis|217
131|pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit|integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio|453
132|montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque|pretium iaculis justo in hac habitasse platea dictumst etiam faucibus|238
133|morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam|nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis|605
134|accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum|tortor duis mattis egestas metus aenean fermentum donec ut mauris|596
135|a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus|aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit|268
136|est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et|tempus vivamus in felis eu sapien cursus vestibulum proin eu|117
137|ligula nec sem duis aliquam convallis nunc proin at turpis a pede|diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam|784
138|felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec|vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede|346
139|id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla|359
140|vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue|justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id|178
141|pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et|feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio|636
142|quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar|consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue|289
143|justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique|nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at|193
144|ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris|dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut|469
145|eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies|platea dictumst maecenas ut massa quis augue luctus tincidunt nulla|33
146|quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at|leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis|332
147|ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl|diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac|522
148|velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum|eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod|323
149|faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel|lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst|805
150|in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget|turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a|431
151|porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam|rutrum at lorem integer tincidunt ante vel ipsum praesent blandit|624
152|integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam|habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum|281
153|molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu|tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam|49
154|imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet|porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci|709
155|duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend|consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc|756
156|dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi|diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis|826
157|at turpis a pede posuere nonummy integer non velit donec diam|porttitor id consequat in consequat ut nulla sed accumsan felis ut|484
